platform_Name,movieId,title,genres,director ,starring
Chorki,34,EKJON TELAPOKA,DRAMA,Golam Muntakim,"Manoj Pramanik, Shatabdi Wadud, Nasir Uddin Khan, Tasnuva Tisha, S M Tusher, Humaira Snigdha, Ahsabul Yamin Riad, Mounsiff Uz Zaman"
Chorki,35,KHACHAR BHITOR OCHIN PAKHI ,THRILLER,Raihan Rafi,"Fazlur Rahman Babu, Tama Mirza, Intekhab Dinar, Sumon Anowar, Nasir Uddin Khan"
Chorki,36,BAGHER BACHCHA,THRILLER,Goutam Koiri,"Shahiduzzaman Selim, Khairul Basar, Deepak Sumon, Jahangir Alam, Forhad Limon, Kamruzzaman Tapu, A K Azad Shetu, Parvej shumon, Ihtisham Ahmed, Amanul Hoque Helal"
Chorki,37,GUERRILLA,DRAMATIC,Nasiruddin Yousuff,"Jaya Ahsan, Ferdous Ahmed, Shampa Reza, Ahmed Rubel, A.T.M. Shamsuzzaman"
Chorki,38,CHORABALI,THRILLER,Redoan Rony,"Jaya Ahsan, Indraneil Sengupta, A.T.M. Sham suzzaman, Shahiduzzaman Selim"
Chorki,39,ARAAL,SUSPENSE- PSYCHOLOGICAL,Nazmul Nobin,"Pritom Hasan, Quazi Nawshaba Ahmed, Sumon Anwar"
Chorki,40,DUI DINER DUNIYA,SUSPENSE-MYSTERY,Anam Biswas,"Chanchal Chowdhury, Fazlur Rahman Babu, Tanvin Sweety, Tania Brishty, Moushumi Hamid, Rakib Hossain Evon, Iqbal Hossain, Shakkho Shahid. Mantaha Warda, Anjuman Ara Shirin, Hannan Shelly, Nusrat Jahan Nodi, Sajjad, Bitlu Shamim, Mahfuz Munna, Shohel Masud, Anik Hasan, Saif Ahmed, Sohel Ahmed, Rachi Chowdhury"
Chorki,41,SAHOSH,CRIME,Sazzad Khan,"Nazia Haque Orsha, Mostafizur Noor Imran, Khairul Basar, Khalid Mahbub Turjo, Kuntal Bishwas Buki"
Chorki,42,HAPPY BIRTHDAY,COMEDY,Nissan Mahmud,"Safa Kabir, Allen Shubhro, Rosey Siddique, Md. Iqbal hossain, Abdullah Al Sentu, Prety Chowdhury, Hossain Zibon, Quazi Abrar Hasan, Ishraq Rahman Shanto."
Chorki,43,FLOOR NO. 7,MURDER MYSTERY,Raihan Rafi,"Shobnom Bubly, Tama Mirza, Raaz Mania, Shahriar Nazim Joy, Sumon Anowar, Saiful Jarnal"
Chorki,44,LOTTERY,DRAMA,KM Kanak,"Redwan Chowdhury Shanto, Enayet Hossain Samir, Samiya Akter Bristy, Iqbal Hossain, Rayhan Istiak Sonet, Souvik Pabel Gomej, Meraj Bullet, Abu Samah"
Chorki,45,TITHIR OSHUKH,PSYCHOLOGICAL THRILLER,Imraul Rafat,"Intekhab Dinar, Yash Rohan, Tasnia Farin, Tutia Yasmeen papia, Sayem Samad, Shoaib Monir, Otithi Israt, Momo Ali, Noksha Khatun, Dola Khan"
Chorki,46,MUNSHIGIRI,DETECTIVE DRAMA,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Purnima, Sabnam Faria, Gazi Rakayet, Shahiduzzaman Selim, Khandaker Lenin, Imtiaz BarshanAnisul Hoque BarunMasum Aziz, Ashok Baperi"
Chorki,47,ASO SHUSONGBAD ASO,SHORT FILM,Tanvir Chowdhury,"Kazi Nousaba, Galib Hossain, Tinu Rashid"
Chorki,48,DAAG,SOCIAL,Sanjoy Somadder,"Mosharraf Karim, Aisha Khan, Nishat Priom, Saberi Alam, A K Azad Shetu, Somu Chowdhury, Mili Bashar, Kazi Anisul Haque Borun, Naresh Bhuiya, Shilpi Sarkar Opu, Shamima Tusty, Nadia Haque, Asadujjaman Asad, Labonno bindu, Zahid Hossain Shovon, Aynun Putul, Alam Sohag, Khandakar Lenin, Faisal Dip, Reshma Ahmed, Parvez Shumon, K M Abdur Razzaque & Others"
